Table 1
S.No.	SME Input (Only sentences which have third person possesive determiners)	NOB Output without Anaphora Resolution	NOB Output with Anaphora Resolution	
				
	# SHOULD BE HUN (fem):			
				
1	"Mu nala galge bidjat bahávuoiŋŋaid, muitala son. Marion Anne Rimpi lei okta sis, gii njealje jagi áigi rahpasit muitalii veahkaválddálašvuođas mii lei su ruovttubáikkis, Divttasvuonas. Su rabasvuohta lea rámiduvvon. Muhto dán dihte lea maid noađđi máŋgii leamaš lossat."	"På meg skulle de sette dårligåndene, forteller hun/han. Marion Anne Rimpi var ei hos dem, som for fire år siden å åpne seg hun/han fortalte fra volden som var i hennes hjemsted, i Tysfjord. Hennes åpenhet er blitt rost. Men #for å dette er det  også byrde hun/han kopierte vært tung."	"På meg skulle de sette dårligåndene, forteller hun/han. Marion Anne Rimpi var ei hos dem, som for fire år siden å åpne seg hun fortalte fra volden som var i hennes hjemsted, i Tysfjord. Hennes åpenhet er blitt rost. Men #for å dette er det  også byrde han kopierte vært tung."	
2	"MODDJÁ: Inger Márjá Sokki Hætta eallin lea rievdan. – Na ráfálaš, son vástida oanehaččat. Nu guhká lea olbmuid gaskka jorran sáhka ahte son lea lihtodan nevrriin, ja ahte son viežžá baháfámu."	"hun/han SMILER#: Inger Márjá Sokki Hættas liv har forandret seg. #– Ja fredelig, hun/han svarer kort. Slik lenge er det mellom folk sirkulert budskap at hun/han har inngått på elendige, og at hun/han henter dårligmakten."	"hun/han SMILER#: Inger Márjá Sokki Hættas liv har forandret seg. #– Ja fredelig, hun svarer kort. Slik lenge er det mellom folk sirkulert budskap at hun har inngått på elendige, og at hun henter dårligmakten."	
3	"Garra ja váralaš návccain biđii cuvkehit ogi maid, muitaluvvui. Inger Márjjá stuorámus sávaldat dalle go iežas vuosttas geardde almmolaččat divttii hállat earáid gullut, lei ahte buohkat besse gullat manne ja mo son lea gillán eallinagi."	"I harde og farlige krefter klarte hun/han for å knuse fostret som, det ble fortalt. Inger Márjás det største ønsket da når sin første gang offentlig lot hun/han å snakke andre hørsel, hadde at alle fikk høre hvorfor og hvordan hun/han har lidt livstiden."	"I harde og farlige krefter klarte hun/han for å knuse fostret som, det ble fortalt. Inger Márjás det største ønsket da når sin første gang offentlig lot hun å snakke andre hørsel, hadde at alle fikk høre hvorfor og hvordan hun har lidt livstiden."	
4	"Sámediggepresideanta Aili Keskitalo njuorrasii go ságastii Inger Márjjáin. – Háliidin muitalit ahte dan maid don leat dahkan, das lea mearkkašupmi sámi servvodahkii, dadjá presideanta. Son lea maid láibon gáhkoža maid addá Inger Márjái."	"Sametingspresident Aili Keskitalo ble rørt da hun/han samtalte med Inger Márjá. #– Jeg ville fortelle at det også har du gjort, det har betydning for samisk samfunn, sier president. Hun/han har også bakt kaka som hun/han gir til Inger Márjá."	"Sametingspresident Aili Keskitalo ble rørt da hun samtalte med Inger Márjá. #– Jeg ville fortelle at det også har du gjort, det har betydning for samisk samfunn, sier president. Hun har også bakt kaka som hun gir til Inger Márjá."	
5	"Mari Boine Persen (r. skábmamánu 8. b. 1956 Gámehisnjárga Kárášjohka) lea Norgga sápmelaš musihkkár, gii lasiha jazz- ja rockmusihka sápmelaččaid árbevirolaš musihkkii. Son váccii joatkkaskuvlla Kárášjogas ja oahpaheaddjioahpu Álaheajus 1970-logus. Geassit 1986 mearridii son heaitit oahpaheaddjibarggus ja álgit ollesáigásaš musihkkárin."	"Mari Boine Persen (r november 8. d. 1956 Gámehisnjárga Karasjok) er Norges samisk musiker, som øker jazz- og rockemusikk til samers tradisjonell musikk. Hun/han gikk videregående skolen i Karasjok og lærerutdanninga i Alta på 1970-tallet. Trekk 1986 bestemte hun/han å slutte i lærerjobben og vi begynner som *ollesáigásaš musiker."	"Mari Boine Persen (r november 8. d. 1956 Gámehisnjárga Karasjok) er Norges samisk musiker, som øker jazz- og rockemusikk til samers tradisjonell musikk. Hun gikk videregående skolen i Karasjok og lærerutdanninga i Alta på 1970-tallet. Trekk 1986 bestemte hun å slutte i lærerjobben og vi begynner som *ollesáigásaš musiker."	
				
	# SHOULD BE HAN (masc):			
