Table 1
Spanish-English Corpus (Only lines with Possessive Determiners)																									
	Total Source Corpus: Europarl Spanish (1000 sentences)																								
	This Corpus: Only lines with Possessive Determiners (258 sentences)																								
																									
Line	English Output (Without Anaphora Module)	English Output (With Anaphora Module)																							
1	"I declare restarted the period of sessions of the European Parliament, interrupted the Friday 17 December past, and reassert to His *Señorías my desire that they have had some good holidays."	"I declare restarted the period of sessions of the European Parliament, interrupted the Friday 17 December past, and reassert to His *Señorías my desire that they have had some good holidays."																							
2	"As all have been able to check, the big ""effect of the year 2000"" has not produced . Instead, the citizens of varied of our countries have been victims of natural catastrophes truly terrible."	"As all have been able to check, the big ""effect of the year 2000"" has not produced . Instead, the citizens of varied of our countries have been victims of natural catastrophes truly terrible."																							
3	"His *Señorías have requested a debate on the subject for the next days, in the course of this period of sessions."	"Their *Señorías have requested a debate on the subject for the next days, in the course of this period of sessions."																							
4	"It would be appropriate that you, Lady President, wrote a card to the President of Sri Lanka expressing the *condolencias of the Parliament by this and other violent deaths, asking him that do all the possible to find a peaceful reconciliation in front of the extremely difficult situation that is living his country?"	"It would be appropriate that you, Lady President, wrote a card to the President of Sri Lanka expressing the *condolencias of the Parliament by this and other violent deaths, asking him that do all the possible to find a peaceful reconciliation in front of the extremely difficult situation that is living his country?"																							
5	"My question refers  to a subject of the that will speak  the Thursday, day that in will go back to pose it."	"My question refers  to a subject of the that will speak  the Thursday, day that in will go back to pose it."																							
6	The report *Cunha on the programs of direction *plurianual presents  to the Parliament the Thursday and contains a proposal in the section 6 around a form of penalties based in quotas that has to apply to the countries that do not fulfil annually his aims of reduction of fleet.	The report *Cunha on the programs of direction *plurianual presents  to the Parliament the Thursday and contains a proposal in the section 6 around a form of penalties based in quotas that has to apply to the countries that do not fulfil annually his aims of reduction of fleet.																							
7	"His *Señoría, if like this it wishes it, will be able to pose this question in this moment, that is to say, the Thursday before it present  the report."	"His *Señoría, if like this it wishes it, will be able to pose this question in this moment, that is to say, the Thursday before it present  the report."																							
8	"On request of a French deputy, the Mr. *Zimeray, has presented  an application, whose signatories have been numerous and among which count me, however, of compliance with the constantly expressed position by the European Parliament and by all the European Community, ask him that it take part with the prestige of his charge and of the Institution that represents in front of the President and the Governor of the State of Texas, Mr. Bush, that has the faculty to suspend the conviction to death and of *indultar to the convict."	"On request of a French deputy, the Mr. *Zimeray, has presented  an application, whose signatories have been numerous and among which count me, however, of compliance with the constantly expressed position by the European Parliament and by all the European Community, ask him that it take part with the prestige of his charge and of the Institution that represents in front of the President and the Governor of the State of Texas, Mr. Bush, that has the faculty to suspend the conviction to death and of *indultar to the convict."																							
9	"It is, definitely, inside the line of the positions that our Parliament always has adopted."	"It is, definitely, inside the line of the positions that our Parliament always has adopted."																							
10	"We know and we have affirmed it really in a lot of resolutions -precisely in the last session *plenaria of the past year- that this is not only a juridical case and that it is an error accuse to Alexander *Nikitin of criminal behaviour and of treachery, because we, as affected by his results, obtain benefit of her."	"We know and we have affirmed it really in a lot of resolutions -precisely in the last session *plenaria of the past year- that this is not only a juridical case and that it is an error accuse to Alexander *Nikitin of criminal behaviour and of treachery, because we, as affected by his results, obtain benefit of her."																							
11	"Yes, lady *Schroedter, of good wins go to examine the facts related with this subject in what it receive his card."	"Yes, lady *Schroedter, of good wins go to examine the facts related with this subject in what it receive her card."																							
12	"Lady President, in the first place would like me congratulate it for having fulfilled with his promise since sure enough in this first period of sessions of the new year has expanded  drastically the number of canals in our dispatches."	"Lady President, in the first place would like me congratulate it for having fulfilled with her promise since sure enough in this first period of sessions of the new year has expanded  drastically the number of canals in our dispatches."																							
13	Why they have not improved  the stairs from my accident?	Why they have not improved  the stairs from my accident?																							
14	"The Group of the Party of the European Socialists requests that it include  a statement of the Commission on his strategic aims for the next five years, as well as on the administrative reform of the Commission."	"The Group of the Party of the European Socialists requests that it include  a statement of the Commission on his strategic aims for the next five years, as well as on the administrative reform of the Commission."																							
