Table 1
Evaluation of Anaphora Resolution on Third Person Possessive Determiners																									
																									
"Note: Out of 1000 sentences, these 258 sentences had possessive determiners. If it isn’t in third person, it is given a score of 0."																									
																									
Line	No change		Change		Comments	Total 3rd Person	Without anaphora	With anaphora																	
	Correct	Incorrect	Correct	Incorrect			Correct	Correct																	
	33	53	32	2		120	35	65																	
																									
1					“His Señorías” should change to Her but this isn’t anaphora.																				
2	0				First Person Pronoun																				
3					“His Señorías” should change to Her but this isn’t anaphora.																				
4	1			1	Real world info needed																				
5	0				First Person Pronoun																				
6		1			Clause detection would correct this																				
7					“His Señorías” should change to Her but this isn’t anaphora.																				
8	1																								
9	0				First Person Pronoun																				
10	1				Translation says “ella” but it is supposed to be “his”																				
11				0	“su” is supposed to be “your”																				
12				0	“su” is supposed to be “your”																				
13	0				First Person Pronoun																				
14			1		Identified antecedent but “Group” is marked singular? Give “its” maybe																				
15	1				"Proper noun, could be his/her?"																				
16		1			Parliament marked singular																				
17		1			Commission marked singular																				
18			1																						
19		1			Should have detected Mrs																				
20	0				First Person Pronoun																				
21	0				First Person Pronoun																				
22	0				First Person Pronoun																				
23		1			Parliament marked singular																				
24		1			Commission marked singular																				
25	0				First Person Pronoun																				
26	0				First Person Pronoun																				
27																									
28	0				First Person Pronoun																				
29	0				First Person Pronoun																				
30				0	“su” is supposed to be “your”																				
31	0				First Person Pronoun																				
32		1																							
33	0				First Person Pronoun																				
34					“His Señorías” should change to Her but this isn’t anaphora.																				
35	0				First Person Pronoun																				
36	0				First Person Pronoun																				
37	0				First Person Pronoun																				
38	0				First Person Pronoun																				
39	0				First Person Pronoun																				
40		1																							
41	1																								
42	1																								
43	0				First Person Pronoun																				
44	0				First Person Pronoun																				
45	1																								
46		1																							
47	0				First Person Pronoun																				
48	0				First Person Pronoun																				
49	0				First Person Pronoun																				
50	1																								
51					“His Señorías” should change to Her but this isn’t anaphora.																				
52			1																						
53	0				First Person Pronoun																				
54			1																						
55		1																							
56		1																							
57				0	“su” is supposed to be “your”																				
58		1																							
59	0				First Person Pronoun																				
60	0				First Person Pronoun																				
61	0				First Person Pronoun																				
62	0				First Person Pronoun																				
63	0				First Person Pronoun																				
64	0				First Person Pronoun																				
65	1																								
66	1																								
67	0				First Person Pronoun																				
68		1																							
69			1																						
70	0				First Person Pronoun																				
71	0				First Person Pronoun																				
72	1																								
73	0				First Person Pronoun																				
74	0				First Person Pronoun																				
